,diff,l2diff,diff_percent,l2diff_percent
A13QHXMU0OMNAY,12.0,8.0,60.0,40.0
A1Y2N49VMVJ7C6,29.0,31.0,48.333333333333336,51.66666666666667
ADFK3HW4HAH48,47.0,33.0,58.75,41.25
A25SORYWGW7RQC,46.0,34.0,57.49999999999999,42.5
AOZ5HHRV4LTJF,39.0,41.0,48.75,51.24999999999999
A1X4KK8GK21WI4,24.0,26.0,48.0,52.0
A2NPUPP06POEJ0,19.0,11.0,63.33333333333333,36.666666666666664
AVT0YEI6ESW25,52.0,28.0,65.0,35.0
A32DRYN7M7HIZT,49.0,31.0,61.25000000000001,38.75
AECKWX9PFTHOM,50.0,30.0,62.5,37.5
A1PAFL0DX7EMAZ,36.0,14.0,72.0,28.000000000000004
A1Z2P53Z69SJ92,8.0,2.0,80.0,20.0
A1DXFMUVK5015A,9.0,11.0,45.0,55.00000000000001
AZR34QLGQARBV,25.0,35.0,41.66666666666667,58.333333333333336
A2IK4Y33UY7YFK,44.0,36.0,55.00000000000001,45.0
A1BWZQ1PEJG1HX,4.0,16.0,20.0,80.0
A171SF2UF7YUN4,5.0,5.0,50.0,50.0
A2XTDTDT3QSCB,20.0,20.0,50.0,50.0
A27XCW38I77SZ6,36.0,24.0,60.0,40.0
A2UF26QQNQOFCZ,37.0,43.0,46.25,53.75
A1XGHGHD0LCPXJ,17.0,23.0,42.5,57.49999999999999
A2UC4H3EHIMWGC,32.0,28.0,53.333333333333336,46.666666666666664
A1LD9ZQ3XTCWUN,36.0,34.0,51.42857142857142,48.57142857142857
A1VOFYYXKZWG7W,50.0,20.0,71.42857142857143,28.57142857142857
A2DW47AFPJWXAM,41.0,39.0,51.24999999999999,48.75
AZ4ZQMOFA3GND,50.0,30.0,62.5,37.5
A2ZX5TLZPAQ2XD,49.0,31.0,61.25000000000001,38.75
AYJEQZWQZ471L,41.0,39.0,51.24999999999999,48.75
A34HKFZ7LF12EC,17.0,13.0,56.666666666666664,43.333333333333336
A2BACJE00ZUDXS,43.0,27.0,61.42857142857143,38.57142857142858
AZE7YSINS9UNZ,53.0,27.0,66.25,33.75
AQ0ENO64Z0MBF,23.0,17.0,57.49999999999999,42.5
A3DZKVP1OBSTRF,18.0,22.0,45.0,55.00000000000001
A2LRY3ID0PEG82,40.0,30.0,57.14285714285714,42.857142857142854
A1G3G0YQ80PTL9,27.0,43.0,38.57142857142858,61.42857142857143
A24HYROUW8ZMZ,54.0,26.0,67.5,32.5
A3VZA2YUYAOE0K,12.0,8.0,60.0,40.0
A2XGOBIWUDYLOT,15.0,15.0,50.0,50.0
AK3DF1BXS8DSM,30.0,10.0,75.0,25.0
AFASY2VX8PADR,22.0,18.0,55.00000000000001,45.0
A1830YARZUAFPX,39.0,41.0,48.75,51.24999999999999
A3L4JI1S352HB8,9.0,11.0,45.0,55.00000000000001
A1FPCIKO68OQ63,51.0,29.0,63.74999999999999,36.25
A31J4TQIDERVVE,41.0,39.0,51.24999999999999,48.75
ASVP3M0AQ1HG4,43.0,37.0,53.75,46.25
A4RT8SPRCRYVN,39.0,41.0,48.75,51.24999999999999
A1E2ADZSSESHHP,49.0,31.0,61.25000000000001,38.75
A2RY24DUOWXUWU,7.0,3.0,70.0,30.0
AUWHXEA1AXCVE,31.0,29.0,51.66666666666667,48.333333333333336
A11K4HY613LGHX,61.0,19.0,76.25,23.75
A22JTMBADARX55,33.0,27.0,55.00000000000001,45.0
AKH0WFAUBUKUS,7.0,3.0,70.0,30.0
A2OWT6YNGSTFGZ,12.0,8.0,60.0,40.0
A2HNP1YL1IBFMU,7.0,3.0,70.0,30.0
ATXUM0GBU5MC8,5.0,5.0,50.0,50.0
